Airfoil_Name,Camber,Camber_Location,Thickness,Thickness_Location,Reynolds_Number,Alpha,Cl,Cd,L_over_D
goe188,0.041598,0.3,0.0894,0.3,500000,5.0,0.978,0.00978,100.0
hq359,0.034482,0.5,0.089702,0.35,500000,5.0,0.996,0.00996,100.0
mh117,0.027347,0.446,0.098045,0.291,500000,3.5,0.717,0.00717,100.0
mrc20-700,0.029404,0.467,0.109117,0.382,500000,5.5,0.97,0.0097,100.0
goe08k,0.059956,0.5,0.148507,0.5,500000,6.0,1.263,0.01263,99.99999999999999
goe284,0.049238,0.392,0.176571,0.292,500000,5.5,1.1289,0.01129,99.99114260407441
sa7024,0.03266,0.445,0.070069,0.259,500000,4.5,0.8869,0.00887,99.98872604284105
m13,0.037959,0.3,0.062099,0.3,500000,4.5,0.7929,0.00793,99.98738965952082
raf32,0.048863,0.5,0.126829,0.3,500000,1.5,0.7649,0.00765,99.98692810457517
goe496,0.049318,0.5,0.099514,0.3,500000,7.0,1.3148,0.01315,99.9847908745247
e334,0.040192,0.254,0.119503,0.303,500000,7.5,1.1837,0.01184,99.97466216216216
fx60100sm,0.034775,0.565,0.099818,0.279,500000,5.5,1.0867,0.01087,99.97240110395585
goe498,0.051224,0.501,0.159564,0.293,500000,6.5,1.2626,0.01263,99.96832937450513
fx75141,0.033898,0.533,0.14134,0.371,500000,7.0,1.1795,0.0118,99.95762711864407
be50sm,0.039526,0.454,0.07316,0.238,500000,6.0,1.1335,0.01134,99.95590828924162
e66,0.039982,0.523,0.101414,0.314,500000,0.5,0.6407,0.00641,99.95319812792512
hs1708,0.050413,0.46,0.079198,0.22,500000,6.0,1.2664,0.01267,99.95264404104182
goe358,0.05483,0.5,0.108721,0.2,500000,5.5,1.2644,0.01265,99.95256916996047
spicasm,0.046158,0.35,0.117208,0.3,500000,3.0,0.8426,0.00843,99.95255041518386
goe190,0.057675,0.5,0.127106,0.201,500000,7.5,1.3863,0.01387,99.94953136265322
goe685,0.041373,0.495,0.131269,0.202,500000,6.5,1.1324,0.01133,99.94704324801413
e580,0.040668,0.612,0.160989,0.355,500000,4.0,1.0874,0.01088,99.94485294117645
goe174,0.054084,0.399,0.085898,0.2,500000,8.0,1.4262,0.01427,99.94393833216537
hq3514,0.033758,0.5,0.140005,0.35,500000,3.5,0.8635,0.00864,99.94212962962963
ah82150a,0.032808,0.435,0.14999,0.402,500000,5.0,1.0054,0.01006,99.94035785288271
s4022,0.043428,0.569,0.112711,0.341,500000,7.0,1.3262,0.01327,99.93971363978899
