Airfoil_Name,Camber,Camber_Location,Thickness,Thickness_Location,Reynolds_Number,Alpha,Cl,Cd,peak_LD_2d,aoa_2d,peak_LD
goe238,0.053366,0.3,0.098138,0.3,500000.0,1.0,0.5503,0.014680448409520833,164.76047904191617,1.0,37.48523101263783
ag19,0.022814,0.428,0.054026,0.194,500000.0,0.0,0.2721,0.007372606807097509,59.152173913043484,0.0,36.90689156758679
raf26,0.021182,0.5,0.066218,0.3,500000.0,0.0,0.3428,0.009340609460664449,69.39271255060729,0.0,36.69996068710646
ag27,0.027109,0.44,0.061142,0.217,500000.0,0.0,0.3157,0.008632332833910341,64.42857142857143,0.0,36.57180579968344
naca64206,0.010926,0.5,0.059905,0.4,500000.0,1.0,0.2881,0.007878262709667221,60.39832285115305,1.0,36.5689760061542
ag18,0.021732,0.442,0.058674,0.207,500000.0,0.0,0.2629,0.007248286658886143,56.41630901287554,0.0,36.27064054892116
hs1404,0.031223,0.46,0.040229,0.18,500000.0,0.0,0.4051,0.011195478278256003,80.21782178217822,0.0,36.184251349653394
ag26,0.025625,0.442,0.068449,0.234,500000.0,0.0,0.3111,0.008644359124659048,61.972111553784856,0.0,35.988787082266256
sa7024,0.03266,0.445,0.070069,0.259,500000.0,0.0,0.4226,0.011767906410479608,83.18897637795274,0.0,35.91123053321229
raf25,0.010381,0.501,0.064787,0.301,500000.0,1.0,0.3042,0.008505370077190188,60.35714285714286,1.0,35.76563950060298
s2060,0.01833,0.456,0.079988,0.302,500000.0,1.0,0.3849,0.010767879553112363,73.73563218390805,1.0,35.74519923829831
mh30,0.017504,0.441,0.078449,0.297,500000.0,1.0,0.3565,0.009979378780275513,68.29501915708812,1.0,35.723666557745155
ag25,0.024146,0.454,0.075826,0.247,500000.0,0.0,0.3067,0.008602562874093033,60.37401574803149,0.0,35.652166045032864
s2062,0.017555,0.458,0.079856,0.301,500000.0,1.0,0.3667,0.010285620831901255,69.84761904761905,1.0,35.651712812771166
usa46,0.021582,0.4,0.065406,0.2,500000.0,1.0,0.3965,0.011167319224023253,75.09469696969697,1.0,35.50538782369945
ag08,0.018027,0.395,0.058303,0.204,500000.0,1.0,0.3079,0.008700181686711654,59.786407766990294,1.0,35.39006552820333
rg14a147,0.013632,0.344,0.069977,0.298,500000.0,1.0,0.3362,0.009502788999023975,63.795066413662234,1.0,35.37908713268609
hor04,0.015112,0.46,0.040582,0.327,500000.0,1.0,0.3096,0.008759492957655352,59.883945841392645,1.0,35.34451154840251
ag17,0.02028,0.455,0.064885,0.221,500000.0,1.0,0.3573,0.010120763212911561,66.91011235955057,1.0,35.30366163928967
s6063,0.014349,0.417,0.069686,0.294,500000.0,1.0,0.286,0.008133114758857569,56.41025641025641,1.0,35.16487944406842
ag09,0.018586,0.328,0.048634,0.174,500000.0,1.0,0.2902,0.008263740953794067,56.79060665362036,1.0,35.11726730334677
jx-gs-15,0.014657,0.4,0.075998,0.278,500000.0,1.0,0.3392,0.009668666586245808,63.28358208955224,1.0,35.08239703730502
sd8000,0.017316,0.456,0.08863,0.294,500000.0,1.0,0.3469,0.009926504419117854,64.00369003690037,1.0,34.94684385894105
