Airfoil_Name,Camber,Camber_Location,Thickness,Thickness_Location,Reynolds_Number,Cl,Cd,peak_LD_2d,aoa_2d,peak_LD_3d,aoa_3d
naca2410,0.019496,0.4,0.100064,0.299,500000.0,0.3906,0.0117534138008056,85.71960297766749,4.0,33.232897830350154,1.0
e222,0.024887,0.504,0.101733,0.311,500000.0,0.3839,0.011619089360112588,101.29277566539925,4.0,33.04045507369091,0.0
sd8040,0.026374,0.395,0.100007,0.293,500000.0,0.4476,0.013552592478000593,91.3568376068376,5.0,33.02689140299703,1.0
e224,0.017665,0.492,0.101742,0.3,500000.0,0.3468,0.010543906635964375,89.0,4.0,32.89103479132625,1.0
goe546,0.034614,0.5,0.104012,0.3,500000.0,0.4357,0.013258964106547992,107.52157829839705,4.0,32.86078735101393,0.0
c5d,0.014039,0.6,0.110545,0.4,500000.0,0.4279,0.013156709887945064,75.6100981767181,3.0,32.523328677488486,2.0
s7055,0.035717,0.386,0.105009,0.318,500000.0,0.4032,0.012437966422502533,106.7711962833914,5.0,32.41687477709686,0.0
clarkv,0.033282,0.5,0.116404,0.3,500000.0,0.4369,0.013518176888668083,110.48933500627354,4.0,32.319446889782995,0.0
c5b,0.012606,0.7,0.115502,0.4,500000.0,0.4147,0.012860198780498041,73.03597122302159,3.0,32.24677993538291,2.0
s3010,0.027942,0.384,0.103192,0.25,500000.0,0.4121,0.012779697086835504,95.16385302879841,6.0,32.24646071028619,1.0
c5c,0.014598,0.65,0.111035,0.4,500000.0,0.4307,0.013366738409259973,78.07854137447404,3.0,32.22177219400264,2.0
s8065,0.011875,0.525,0.110001,0.378,500000.0,0.4557,0.014156591006652067,80.3068340306834,4.0,32.18995306044162,3.0
df101,0.023283,0.435,0.110021,0.291,500000.0,0.3899,0.012122953964768365,90.51851851851852,4.0,32.16212823484477,1.0
c141e,0.017406,0.5,0.105114,0.402,500000.0,0.3834,0.011944722349779127,82.87179487179488,3.0,32.09785784657352,1.0
cal1215j,0.022852,0.448,0.117256,0.299,500000.0,0.3994,0.012443753839482036,92.14521452145213,5.0,32.09642404953141,1.0
cal2263m,0.035525,0.425,0.117206,0.319,500000.0,0.4287,0.01336237240545142,104.54545454545455,4.0,32.08262627264483,0.0
mh60,0.018222,0.366,0.100851,0.269,500000.0,0.3681,0.011474144566738311,82.7471383975026,6.0,32.08082291965035,2.0
davis,0.036127,0.4,0.112506,0.3,500000.0,0.4255,0.013270009937770217,101.62980209545984,4.0,32.06478382423107,0.0
bacxxx,0.01333,0.15,0.113099,0.35,500000.0,0.3178,0.009912152075920297,74.96379726468221,7.0,32.06165498328412,1.0
df102,0.022877,0.435,0.110025,0.291,500000.0,0.3908,0.012199266208924753,80.35220125786164,3.0,32.03471367106474,1.0
goe548,0.022882,0.5,0.119001,0.4,500000.0,0.417,0.013051833858660373,92.61096605744126,3.0,31.949533262201705,1.0
clarkysm,0.035235,0.435,0.117242,0.309,500000.0,0.4239,0.013279116306273838,100.74683544303797,3.0,31.922304935285837,0.0
