Airfoil_Name,Camber,Camber_Location,Thickness,Thickness_Location,Reynolds_Number,Alpha,Cl,Cd,L_over_D
2032c,0.068068,0.4,0.079623,0.2,500000,0.5,0.7654,0.01079,70.93605189990733
2032c,0.068068,0.4,0.079623,0.2,500000,1.5,0.8779,0.01088,80.68933823529412
2032c,0.068068,0.4,0.079623,0.2,500000,2.0,0.9336,0.01105,84.48868778280543
2032c,0.068068,0.4,0.079623,0.2,500000,2.5,0.9844,0.00987,99.73657548125634
2032c,0.068068,0.4,0.079623,0.2,500000,3.0,1.0391,0.0103,100.88349514563106
2032c,0.068068,0.4,0.079623,0.2,500000,3.5,1.0934,0.01075,101.71162790697674
2032c,0.068068,0.4,0.079623,0.2,500000,4.5,1.2013,0.01165,103.11587982832617
2032c,0.068068,0.4,0.079623,0.2,500000,5.0,1.2543,0.01216,103.14967105263158
2032c,0.068068,0.4,0.079623,0.2,500000,5.5,1.3074,0.01256,104.09235668789808
2032c,0.068068,0.4,0.079623,0.2,500000,6.0,1.36,0.01298,104.77657935285055
2032c,0.068068,0.4,0.079623,0.2,500000,6.5,1.4102,0.01366,103.23572474377744
2032c,0.068068,0.4,0.079623,0.2,500000,7.0,1.4314,0.01802,79.43396226415094
2032c,0.068068,0.4,0.079623,0.2,500000,7.5,1.4746,0.01943,75.89294904786412
2032c,0.068068,0.4,0.079623,0.2,500000,8.0,1.5118,0.02127,71.0766337564645
2032c,0.068068,0.4,0.079623,0.2,500000,8.5,1.5374,0.0239,64.32635983263599
2032c,0.068068,0.4,0.079623,0.2,500000,9.0,1.5401,0.02739,56.228550565899965
2032c,0.068068,0.4,0.079623,0.2,500000,9.5,1.5227,0.03235,47.06955177743431
2032c,0.068068,0.4,0.079623,0.2,500000,10.0,1.4923,0.04032,37.01140873015873
30p-30n-flap,0.015394,1.002,0.044157,0.926,500000,0.0,0.2825,0.12219,2.3119731565594566
