airfoil,thickness,thickness_loc,camber,camber_loc,le_radius,te_angle,avg_LD,peak_LD,peak_AoA
goe403.dat,0.067053,0.258258,0.043273,0.377377,0.02429,,50.9663,99.961,3.0
goe310.dat,0.081695,0.27027,0.048138,0.394394,0.027332,,70.1074,99.9378,4.0
goe121.dat,0.066508,0.197197,0.046098,0.378378,0.028251,,73.1437,99.9084,4.0
goe685.dat,0.132291,0.231231,0.042398,0.45045,0.037554,,77.9815,99.8932,7.0
vr7b.dat,0.1203,0.33033,0.031312,0.313313,0.02662,0.0,74.2362,99.8678,7.0
goe176.dat,0.103399,0.201201,0.055723,0.422422,0.033221,,80.0619,99.8468,6.0
e639.dat,0.125636,0.293293,0.048106,0.275275,0.032057,15.5687,82.9795,99.7976,10.0
goe387.dat,0.148875,0.274274,0.055242,0.387387,0.03433,,82.6917,99.7822,4.0
goe574.dat,0.102708,0.317317,0.049974,0.344344,0.028356,,61.1408,99.7693,5.0
e558.dat,0.428451,0.002002,0.206789,0.002002,0.039115,12.9396,83.8607,99.7285,8.0
e334.dat,0.119506,0.304304,0.040543,0.269269,0.02888,13.3326,82.6709,99.7187,8.0
fx05188.dat,0.18861,0.396396,0.026275,0.530531,0.033937,10.1838,72.8584,99.6565,6.0
e818.dat,0.093708,0.332332,0.028008,0.683684,0.022399,6.9135,57.4809,99.6555,2.0
e209.dat,0.137239,0.318318,0.019777,0.436436,0.02978,12.1529,72.8602,99.6294,7.0
fx78k150.dat,0.151083,0.432432,0.043367,0.45045,0.024332,10.9735,48.3104,99.6095,6.0
ec863914.dat,0.142943,0.335335,0.044119,0.737738,0.036022,3.6431,74.1018,99.5829,2.0
n63412.dat,0.120027,0.348348,0.022016,0.506507,0.027762,,70.2892,99.5595,5.0
hq3014.dat,0.139861,0.351351,0.02987,0.507508,0.029983,10.4484,82.5922,99.4921,5.0
e550.dat,0.182131,0.352352,0.022501,0.29029,0.034744,12.9846,70.5582,99.4854,9.0
s3002.dat,0.236201,0.002002,0.088321,0.01001,0.026617,5.1737,85.5816,99.4619,4.0
naca652415.dat,0.149986,0.405405,0.022047,0.506507,0.03001,,63.9389,99.46,5.0
goe595.dat,0.095757,0.326326,0.030265,0.364364,0.017287,,80.1448,99.361,2.0
s2027.dat,0.145291,0.313313,0.02744,0.371371,0.03136,7.6186,80.3868,99.329,7.0
goe274.dat,0.086775,0.274274,0.04883,0.348348,0.034006,,77.1733,99.2443,5.0
r1145ms.dat,0.187979,0.354354,0.044373,0.488488,0.051596,16.5881,70.7852,99.2393,4.0
