  
       XFOIL         Version 6.99
  
 Calculated polar for: gen1_rank1                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.100     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0967   0.00583   0.00241  -0.0212   0.9892   1.0000
   1.000   0.3248   0.00585   0.00146  -0.0454   0.6729   1.0000
   2.000   0.4119   0.00697   0.00171  -0.0397   0.4597   1.0000
   3.000   0.5068   0.00780   0.00211  -0.0359   0.3233   1.0000
   4.000   0.5978   0.00939   0.00292  -0.0316   0.1136   1.0000
   5.000   0.6834   0.01224   0.00557  -0.0258   0.0200   1.0000
   6.000   0.7358   0.00469  -0.00128  -0.0152   0.0139   1.0000
   7.000   0.8035   0.01111   0.00596  -0.0072   0.0119   1.0000
   8.000   0.8699   0.03793   0.03432   0.0018   0.0134   1.0000
