  
       XFOIL         Version 6.99
  
 Calculated polar for: TEMP                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.100     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1037   0.01262   0.00409   0.0126   0.4257   0.0112
   1.000   0.1385   0.00970   0.00280   0.0274   0.4101   0.6664
   2.000   0.2371   0.01029   0.00340   0.0302   0.3916   0.7239
   3.000   0.3437   0.01051   0.00356   0.0304   0.3736   0.7356
   4.000   0.4493   0.01080   0.00385   0.0307   0.3565   0.7477
   5.000   0.5535   0.01119   0.00429   0.0312   0.3400   0.7606
   6.000   0.6560   0.01164   0.00488   0.0320   0.3234   0.7743
   7.000   0.7553   0.01202   0.00553   0.0333   0.3055   0.7890
   8.000   0.8365   0.01254   0.00583   0.0378   0.2128   0.8054
   9.000   0.8268   0.01735   0.00956   0.0571   0.0020   0.8283
