  
       XFOIL         Version 6.99
  
 Calculated polar for: AIRFOIL                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.100     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.4322   0.00988   0.00392  -0.0884   0.5381   0.6935
   1.000   0.5468   0.01014   0.00419  -0.0886   0.5293   0.7459
   2.000   0.6592   0.01049   0.00465  -0.0884   0.5206   0.7886
   3.000   0.7715   0.01088   0.00505  -0.0883   0.5122   0.8251
   4.000   0.8802   0.01120   0.00556  -0.0876   0.5032   0.8547
   5.000   0.9894   0.01163   0.00604  -0.0871   0.4943   0.8836
   6.000   1.0907   0.01183   0.00649  -0.0850   0.4844   0.9162
   7.000   1.1890   0.01200   0.00689  -0.0824   0.4730   0.9653
   8.000   1.3114   0.01232   0.00734  -0.0857   0.4571   1.0000
   9.000   1.4135   0.01263   0.00774  -0.0847   0.4341   1.0000
  10.000   1.5004   0.01335   0.00860  -0.0811   0.4025   1.0000
  11.000   1.5486   0.01499   0.01025  -0.0714   0.3540   1.0000
  12.000   1.5256   0.02073   0.01581  -0.0565   0.2807   1.0000
  13.000   1.4594   0.03367   0.02856  -0.0474   0.2100   1.0000
  14.000   1.4051   0.04803   0.04277  -0.0430   0.1536   1.0000
  15.000   1.3738   0.06230   0.05690  -0.0420   0.1054   1.0000
